Australian Bureau of Statistics,,,,,,,,,
State Suburbs 2011 to State Suburbs 2016,,,,,,,,,
,,,,,,,,,
Table 2 QI indicator,,,,,,,,,
,,,,,,,,,
SSC_CODE_2016,SSC_NAME_2016,QI_INDICATOR,,,,,,,
10474,Bonville,Good,,,,,,,
10475,Booerie Creek,Poor,,,,,,,
10476,Book Book,Poor,,,,,,,
10477,Booker Bay,Good,,,,,,,
10478,Bookham,Acceptable,,,,,,,
10479,Bookookoorara,Poor,,,,,,,
10480,Bookram,Poor,,,,,,,
10481,Boolambayte,Poor,,,,,,,
10482,Boolaroo,Good,,,,,,,
10483,Boolcarroll,Poor,,,,,,,
10484,Booligal,Poor,,,,,,,
10485,Boolijah,Poor,,,,,,,
10486,Boomanoomana,Poor,,,,,,,
10487,Boomerang Beach,Poor,,,,,,,
10488,Boomey,Poor,,,,,,,
10489,Boomi,Poor,,,,,,,
10490,Boomi Creek,Poor,,,,,,,
10491,Boona Mount,Poor,,,,,,,
10492,Boonal,Poor,,,,,,,
10493,Boonoo Boonoo,Poor,,,,,,,
10494,Boorabee Park,Poor,,,,,,,
10495,Booragul,Good,,,,,,,
10496,Booral (NSW),Good,,,,,,,
10497,Boorga,Poor,,,,,,,
10498,Boorganna,Poor,,,,,,,
10499,Boorolong,Poor,,,,,,,
10500,Boorook,Poor,,,,,,,
10501,Boorooma,Good,,,,,,,
10502,Booroorban,Poor,,,,,,,
10503,Boorowa,Good,,,,,,,
10504,Bootawa,Poor,,,,,,,
10505,Booti Booti,Poor,,,,,,,
10506,Booyong,Poor,,,,,,,
10507,Bora Ridge,Poor,,,,,,,
10508,Borah Creek,Poor,,,,,,,
10509,Borambola,Poor,,,,,,,
10510,Border Ranges,Poor,,,,,,,
10511,Boree,Poor,,,,,,,
10512,Boree Creek,Poor,,,,,,,
10513,Borenore,Good,,,,,,,
10514,Boro,Poor,,,,,,,
10515,Bossley Park,Good,,,,,,,
10516,Bostobrick,Poor,,,,,,,
10517,Botany,Good,,,,,,,
10518,Botobolar,Poor,,,,,,,
10519,Bottle Creek,Poor,,,,,,,
10520,Bouddi,Poor,,,,,,,
10521,Bourbah,Poor,,,,,,,
10522,Bourke,Acceptable,,,,,,,
10523,Bourkelands,Good,,,,,,,
10524,Bournda,Good,,,,,,,
10525,Bournewood,Poor,,,,,,,
10526,Bow Bowing,Good,,,,,,,
10527,Bowan Park,Poor,,,,,,,
10528,Bowen Mountain,Good,,,,,,,
10529,Bowenfels,Good,,,,,,,
10530,Bowling Alley Point,Poor,,,,,,,
10531,Bowman,Poor,,,,,,,
10532,Bowman Farm,Poor,,,,,,,
10533,Bowmans Creek,Poor,,,,,,,
10534,Bowna,Poor,,,,,,,
10535,Bowning,Acceptable,,,,,,,
10536,Bowral,Good,,,,,,,
10537,Bowraville,Good,,,,,,,
10538,Box Head,Acceptable,,,,,,,
10539,Box Hill (NSW),Good,,,,,,,
10540,Box Ridge,Poor,,,,,,,
10541,Boxers Creek,Poor,,,,,,,
10542,Boydtown,Poor,,,,,,,
10543,Bradbury (NSW),Good,,,,,,,
10544,Braefield,Poor,,,,,,,
10545,Braemar,Good,,,,,,,
10546,Braemar Bay,Poor,,,,,,,
10547,Braidwood,Good,,,,,,,
10548,Brandy Hill,Good,,,,,,,
10549,Branxton,Good,,,,,,,
10550,Braunstone,Good,,,,,,,
10551,Brawboy,Poor,,,,,,,
10552,Bray Park (NSW),Good,,,,,,,
10553,Brays Creek,Poor,,,,,,,
10554,Brayton,Poor,,,,,,,
10555,Breadalbane (NSW),Poor,,,,,,,
10556,Breakfast Creek,Poor,,,,,,,
10557,Breakfast Point,Good,,,,,,,
10558,Bream Beach,Poor,,,,,,,
10559,Bredbo,Poor,,,,,,,
10560,Breelong,Poor,,,,,,,
10561,Breeza,Poor,,,,,,,
10562,Bretti,Poor,,,,,,,
10563,Brewarrina,Good,,,,,,,
10564,Brewongle,Poor,,,,,,,
10565,Briarbrook,Poor,,,,,,,
10566,Bribbaree,Poor,,,,,,,
10567,Bridgman,Poor,,,,,,,
10568,Brierfield,Acceptable,,,,,,,
10569,Brighton-le-Sands,Good,,,,,,,
10570,Brightwaters,Good,,,,,,,
10571,Bril Bril,Poor,,,,,,,
10572,Brimbin,Poor,,,,,,,
10573,Brindabella,Poor,,,,,,,
10574,Brinerville,Acceptable,,,,,,,
10575,Bringelly,Good,,,,,,,
10576,Bringenbrong,Poor,,,,,,,
10577,Brisbane Grove,Poor,,,,,,,
10578,Broadmeadow,Acceptable,,,,,,,
10579,Broadwater (Bega Valley - NSW),Poor,,,,,,,
10580,Broadwater (Richmond Valley - NSW),Acceptable,,,,,,,
10581,Broadway,Poor,,,,,,,
10582,Brobenah,Poor,,,,,,,
10583,Brocklehurst,Poor,,,,,,,
10584,Brocklesby,Good,,,,,,,
10585,Brockley,Poor,,,,,,,
10586,Brodies Plains,Poor,,,,,,,
10587,Brogans Creek,Poor,,,,,,,
10588,Brogers Creek,Poor,,,,,,,
10589,Brogo,Good,,,,,,,
10590,Broke (NSW),Acceptable,,,,,,,
10591,Broken Head,Acceptable,,,,,,,
10592,Broken Hill,Good,,,,,,,
10593,Brombin,Poor,,,,,,,
10594,Bronte,Good,,,,,,,
10595,Brookdale (NSW),Poor,,,,,,,
10596,Brookfield (NSW),Poor,,,,,,,
10597,Brooklana,Poor,,,,,,,
10598,Brooklet,Good,,,,,,,
10599,Brooklyn (NSW),Good,,,,,,,
10600,Brookong,Poor,,,,,,,
10601,Brookvale,Good,,,,,,,
